	Count
hsa-mir-3914	2
hsa-mir-8079	2
hsa-mir-1293	2
hsa-mir-4674	2
hsa-mir-4783-5p	2
hsa-mir-181b-2-3p	2
hsa-mir-1224-5p	2
hsa-mir-578	2
hsa-mir-491-3p	2
hsa-mir-4512	2
hsa-mir-4747-5p	2
hsa-mir-4428	2
hsa-mir-7977	2
hsa-mir-3129-3p	2
hsa-mir-6784-3p	2
hsa-mir-4451	2
hsa-mir-549a-5p	2
hsa-mir-505-5p	2
hsa-mir-12131	2
hsa-mir-1587	2
hsa-mir-4638-5p	2
hsa-mir-595	2
hsa-mir-299-5p	2
hsa-mir-23c	2
hsa-mir-365a-5p	2
hsa-mir-6529-5p	2
hsa-mir-6514-5p	2
hsa-mir-122-5p	2
hsa-mir-4793-5p	2
hsa-mir-12128	2
hsa-mir-5697	2
hsa-mir-612	2
hsa-mir-7152-5p	2
hsa-mir-4745-5p	2
hsa-mir-4675	2
hsa-mir-4267	2
hsa-mir-1976	2
hsa-mir-3907	2
hsa-mir-3160-3p	2
hsa-mir-548al	2
hsa-mir-4651	2
hsa-mir-4794	2
hsa-mir-3660	2
hsa-mir-218-5p	2
hsa-mir-550b-3p	2
hsa-mir-3973	2
hsa-mir-4258	2
hsa-mir-4300	2
hsa-mir-3690	2
hsa-mir-3199	2
hsa-mir-3913-3p	2
hsa-mir-558	2
hsa-mir-2113	2
hsa-mir-1179	2
hsa-mir-7111-5p	2
hsa-mir-891a-5p	2
hsa-mir-4690-3p	2
hsa-mir-3939	2
hsa-mir-3136-5p	2
hsa-mir-6516-5p	2
hsa-mir-7111-3p	2
hsa-mir-4676-3p	2
hsa-mir-575	2
hsa-mir-6868-3p	2
hsa-mir-4686	2
hsa-mir-485-3p	2
hsa-mir-4751	2
hsa-mir-15a-3p	2
hsa-mir-3910	2
hsa-mir-1915-5p	2
hsa-mir-7108-3p	2
hsa-mir-4465	2
hsa-mir-6780a-5p	2
hsa-mir-516b-5p	2
hsa-mir-3153	2
hsa-mir-433-5p	2
hsa-mir-3138	2
hsa-mir-6847-5p	2
hsa-mir-1343-5p	2
hsa-mir-4261	2
hsa-mir-4804-3p	2
hsa-mir-2276-3p	2
hsa-mir-6754-3p	2
hsa-mir-199b-5p	2
hsa-mir-4783-3p	2
hsa-mir-6780a-3p	2
hsa-mir-6799-3p	2
hsa-mir-1908-5p	2
hsa-mir-5706	2
hsa-mir-503-5p	2
hsa-mir-30b-3p	2
hsa-mir-6847-3p	2
hsa-mir-549a-3p	2
hsa-mir-3620-3p	2
hsa-mir-431-5p	2
hsa-mir-3064-5p	2
hsa-mir-3912-5p	2
hsa-mir-2115-3p	2
hsa-mir-3911	2
hsa-mir-11181-5p	2
hsa-mir-5692c	2
hsa-mir-4790-3p	2
hsa-mir-4793-3p	2
hsa-mir-7703	2
hsa-mir-3622a-5p	2
