	SRR3174965_trimmed_size.fasta
hsa-mir-4783-3p	2
hsa-mir-3194-5p	2
hsa-mir-4660-5p	2
hsa-mir-4676-3p	2
hsa-mir-549a-5p	2
hsa-mir-4519-3p	2
hsa-mir-762-5p	2
hsa-mir-1972-1-3p	2
hsa-mir-4497-3p	2
hsa-mir-4458-5p	2
hsa-mir-3912-5p	2
hsa-mir-4737-5p	2
hsa-mir-609-5p	2
hsa-mir-1247-3p	2
hsa-mir-548ah-5p	2
hsa-mir-3129-3p	2
hsa-mir-6869-5p	2
hsa-mir-5009-5p	2
hsa-mir-3195-3p	2
hsa-mir-1258-5p	2
hsa-mir-1179-5p	2
hsa-mir-30b-3p	2
hsa-mir-877-3p	2
hsa-mir-610-3p	2
hsa-mir-643-5p	2
hsa-mir-640-3p	2
hsa-mir-219b-5p	2
hsa-mir-5089-5p	2
hsa-mir-889-3p	2
hsa-mir-3913-2-3p	2
hsa-mir-4720-5p	2
hsa-mir-4707-5p	2
hsa-mir-4675-3p	2
hsa-mir-2278-5p	2
hsa-mir-214-5p	2
hsa-mir-500a-5p	2
hsa-mir-4804-3p	2
hsa-mir-548a-1-5p	2
hsa-mir-3064-5p	2
hsa-mir-6847-5p	2
hsa-mir-6127-3p	2
hsa-mir-3664-5p	2
hsa-mir-218-1-5p	2
hsa-mir-4640-3p	2
hsa-mir-4763-3p	2
hsa-mir-4305-3p	2
hsa-mir-3620-3p	2
hsa-mir-3911-5p	2
hsa-mir-3175-5p	2
hsa-mir-3609-3p	2
hsa-mir-5706-5p	2
hsa-mir-485-3p	2
hsa-mir-1913-3p	2
hsa-mir-4428-5p	2
hsa-mir-4454-3p	2
hsa-mir-3174-5p	2
hsa-mir-4769-3p	2
hsa-mir-632-3p	2
hsa-mir-1909-5p	2
hsa-mir-6889-3p	2
hsa-mir-1236-3p	2
hsa-mir-4444-1-5p	2
hsa-mir-4492-5p	2
hsa-mir-194-2-5p	2
hsa-mir-718-5p	2
hsa-mir-548j-3p	2
hsa-mir-3180-1-3p	2
hsa-mir-134-5p	2
hsa-mir-6786-3p	2
hsa-mir-548ag-2-5p	2
hsa-mir-4512-5p	2
hsa-mir-10393-3p	2
hsa-mir-4281-3p	2
